Product Mix by Revenue Center,,,,001 - Store1,,,
7/20/2023 6:21:51 AM (UTC-08:00) Pacific Time (US & Canada),,,,1/1/2023 - 3/31/2023,,,
Item Group name 1,,,,,,,
,Item Name,Quantity,Average Price,,Total,,Percent
,Henaff HP Liver Pate Mushrooms 4.5oz,59,$5.93 ,,$349.82 ,,0.04%
,Ky Anh Mung Bean Original 5oz,78,$4.36 ,,$340.34 ,,0.04%
,Mini Shrimp Egg Rolls 4oz,67,$4.86 ,,$325.85 ,,0.04%
,Banh Da Me 7oz,68,$4.33 ,,$294.21 ,,0.04%
,Lap Xuong MQL SG P. Hot 16 OZ,31,$8.44 ,,$261.62 ,,0.03%
,Ky Anh Mung Bean Matcha 5oz,60,$4.34 ,,$260.42 ,,0.03%
,Vitaquell HERBS 4.4 OZ (125G),29,$8.56 ,,$248.12 ,,0.03%
,Mini Seafood Egg Rolls 4oz,40,$5.78 ,,$231.21 ,,0.03%
,Instant Shrp S&Hot Noodle OMACHI 5pcs/pk,50,$4.37 ,,$218.72 ,,0.03%
,B. Coke 500ml,84,$2.45 ,,$205.41 ,,0.03%
,Lee's Butter Chips [9],69,$2.97 ,,$205.12 ,,0.03%
,Vitaquell Champignon 4.4oz (125G),23,$8.91 ,,$204.98 ,,0.03%
,Veggie Bag,155,$1.26 ,,$195.30 ,,0.02%
,HK Banh Dau Xanh,94,$1.93 ,,$181.50 ,,0.02%
,Kettle Jalapeno 1.5 oz,198,$0.86 ,,$169.85 ,,0.02%
,Soy Sauce Tam Thai Tu 650ml,28,$5.73 ,,$160.53 ,,0.02%
,Gavottes Crispy Brittany 500G,8,$18.99 ,,$151.93 ,,0.02%
,Kettle Backyard Barbeque 1.5 oz,128,$0.99 ,,$126.54 ,,0.02%
,Kettle Sea Salted 1.5 oz,155,$0.81 ,,$125.93 ,,0.02%
,Fish Sauce NAM NGU PHU QUOC 500ml,14,$8.99 ,,$125.89 ,,0.02%
,Fish Sauce Chinsu 500ml,23,$5.16 ,,$118.60 ,,0.01%
,Instant RIP noodle OMACHI 5pcs/pk,26,$4.43 ,,$115.10 ,,0.01%
,Chinsu Hot Sauce 500g,25,$3.96 ,,$98.95 ,,0.01%
,Nem Nuong Ninh Hoa,20,$4.94 ,,$98.80 ,,0.01%
,Gavottes Crespes D. 44oz,4,$23.80 ,,$95.19 ,,0.01%
,"Nakydaco, Roasted Sesame Oil 250ml",28,$3.06 ,,$85.78 ,,0.01%
,Gavottes Rolled Wafer 34.9oz,4,$21.24 ,,$84.96 ,,0.01%
,HK Banh Pia DX/SR 0.4oz,42,$1.85 ,,$77.61 ,,0.01%
,Kettle Sea Salted Vinegar 1.5 oz,89,$0.86 ,,$76.45 ,,0.01%
,HK Banh Deo DX 4oz,37,$1.97 ,,$72.83 ,,0.01%
,Instant Beef Noodle OMACHI 5pcs/pk,15,$4.82 ,,$72.35 ,,0.01%
,HK Banh Pia DX/HV 0.4oz,35,$1.93 ,,$67.39 ,,0.01%
,HK Banh Pia DX 0.4oz,35,$1.90 ,,$66.47 ,,0.01%
,Sour Patch Kids 2oz,41,$1.46 ,,$60.04 ,,0.01%
,Mentos Mixed Fruits 1.32 OZ,37,$1.47 ,,$54.53 ,,0.01%
,HK Banh Pia DX Nhun Mut 0.4 OZ,27,$1.84 ,,$49.64 ,,0.01%
,Skittles Sour 1.80oz,33,$1.49 ,,$49.17 ,,0.01%
,HK Banh Deo SR 4oz,26,$1.88 ,,$48.94 ,,0.01%
,Skittles Wild Berry,31,$1.49 ,,$46.19 ,,0.01%
,M&M Package,35,$1.18 ,,$41.17 ,,0.01%
,Shopping Bag Bird-POE,759,$0.05 ,,$40.79 ,,0.01%
,Sour Punch Raspberry 2oz,27,$1.49 ,,$40.23 ,,0.01%
,"Chinsu Pho, 470g",10,$3.83 ,,$38.30 ,,0.00%
,Sour Punch Straw 2oz,25,$1.45 ,,$36.36 ,,0.00%
,Kettle Salt Grd Pepper 1.5 oz,53,$0.60 ,,$31.74 ,,0.00%
,House Vege bag,23,$1.29 ,,$29.67 ,,0.00%
,Skittles Original 2.17oz,20,$1.48 ,,$29.50 ,,0.00%
,Starburst Original 2.07 OZ,20,$1.46 ,,$29.20 ,,0.00%
,M&M Milk Chocolate 1.69oz,22,$1.25 ,,$27.50 ,,0.00%
,Vermi. F Rice 12oz,11,$2.45 ,,$26.91 ,,0.00%
,Mentos Mint 1.32 OZ,16,$1.47 ,,$23.54 ,,0.00%
,Tic Tac Freshmints,14,$1.49 ,,$20.86 ,,0.00%
,Monin Strawberry,1,$11.99 ,,$11.99 ,,0.00%
,Tapi. Sheet 22cm 12oz,4,$2.99 ,,$11.96 ,,0.00%
,Instant Noodle Spag. Omachi,2,$4.49 ,,$8.98 ,,0.00%
,Cha Song 13oz (3973),2,$4.49 ,,$8.98 ,,0.00%
,Air Heads Orange 0.55 OZ,8,$0.99 ,,$7.92 ,,0.00%
,Skittles C. Cores,6,$1.25 ,,$7.50 ,,0.00%
,Trident Gum Orig. flavor,5,$1.49 ,,$7.45 ,,0.00%
,Trident White Peppermint 16,5,$1.49 ,,$7.45 ,,0.00%
,Air Heads White Mystery 0.55 OZ,7,$0.99 ,,$6.93 ,,0.00%
,Air Heads Watermelon,7,$0.99 ,,$6.93 ,,0.00%
,Air Heads Xtremes 2 OZ,4,$1.49 ,,$5.96 ,,0.00%
,Trident Gum Spearmint,4,$1.42 ,,$5.66 ,,0.00%
,Shopping Bag Cherry Flower,307,$0.02 ,,$5.18 ,,0.00%
,Air Heads Grape 0.55 OZ,5,$0.99 ,,$4.95 ,,0.00%
,Wrigley Juicy Fruit,17,$0.29 ,,$4.92 ,,0.00%
,Bi Chay 10oz,1,$4.00 ,,$4.00 ,,0.00%
,Shopping Bag Cherry (S),38,$0.10 ,,$3.98 ,,0.00%
,Lee's House Pickles 8 OZ,1,$2.99 ,,$2.99 ,,0.00%
,Baked Ruffles Cheddar & Sour Cream - 31.8g,2,$1.49 ,,$2.98 ,,0.00%
,Dill Pickle bag,2,$1.29 ,,$2.58 ,,0.00%
,Chips Deep River Sour Cream&Onion,1,$1.99 ,,$1.99 ,,0.00%
,Shopping Bag Macaron,162,$0.01 ,,$1.99 ,,0.00%
,Air Heads Cherry,2,$0.99 ,,$1.98 ,,0.00%
,Banh Khoai Mi Nuong Cassave Cake,1,$1.59 ,,$1.59 ,,0.00%
,Extra Gum Spearmint,1,$1.49 ,,$1.49 ,,0.00%
,Skittles  Bubbles,1,$1.19 ,,$1.19 ,,0.00%
,Kettle Hickory BBQ 1.5 oz,1,$0.00 ,,$0.00 ,,0.00%
,"Kettle Malt Vinegar, Sea Salt 1.5 oz",1,$0.00 ,,$0.00 ,,0.00%
,Kettle Funky Fusion 1.5 oz,1,$0.00 ,,$0.00 ,,0.00%
,Kettle Jalapeno Cheddar 1.5 oz,4,$0.00 ,,$0.00 ,,0.00%
,Kettle Natural 1.5 oz,1,$0.00 ,,$0.00 ,,0.00%
,Shopping Bag Hot Baguette,11,$0.00 ,,$0.00 ,,0.00%
,Shopping Bag Tulip Flower,44,$0.00 ,,$0.00 ,,0.00%
,Kettle Mesquite BBQ 1.5 oz,5,$0.00 ,,$0.00 ,,0.00%
,Toasted Butter [5],26,$0.00 ,,$0.00 ,,0.00%
,Kettle BBQ 1.5 oz,3,$0.00 ,,$0.00 ,,0.00%
,Summary,8949,$4.23 ,,"$37,872.77 ",,4.71%
Smoothies,,,,,,,
,Item Name,Quantity,Average Price,,Total,,Percent
,ST Mango,547,$3.92 ,,"$2,142.61 ",,0.27%
,ST Avocado (L),432,$4.86 ,,"$2,099.38 ",,0.26%
,ST Avocado,430,$3.90 ,,"$1,675.39 ",,0.21%
,ST Strawberry,403,$3.92 ,,"$1,580.05 ",,0.20%
,ST Mango (L),305,$4.92 ,,"$1,499.99 ",,0.19%
,ST Durian (L),277,$4.91 ,,"$1,360.14 ",,0.17%
,ST Strawberry (L),216,$4.83 ,,"$1,043.90 ",,0.13%
,ST Taro,231,$3.96 ,,$914.50 ,,0.11%
,ST Taro (L),176,$4.91 ,,$863.32 ,,0.11%
,ST 2-Fruit Mix (L),147,$5.25 ,,$772.45 ,,0.10%
,ST 2 Fruit Mix,176,$4.37 ,,$769.13 ,,0.10%
,ST Durian,180,$3.88 ,,$699.03 ,,0.09%
,ST Honey Dew (L),109,$4.96 ,,$540.91 ,,0.07%
,ST Honey Dew,131,$3.94 ,,$515.51 ,,0.06%
,ST Coconut (L),80,$4.98 ,,$398.20 ,,0.05%
,ST Coconut,92,$3.94 ,,$362.29 ,,0.05%
,ST Passion Fruit,78,$3.96 ,,$309.22 ,,0.04%
,Smashed Avocado Durian (L),44,$6.69 ,,$294.30 ,,0.04%
,ST Thai Tea (L),58,$4.96 ,,$287.42 ,,0.04%
,ST Pineapple,64,$3.95 ,,$252.96 ,,0.03%
,ST Banana,62,$3.92 ,,$242.99 ,,0.03%
,ST Lychee,60,$3.97 ,,$238.21 ,,0.03%
,ST Passion Fruit (L),46,$4.86 ,,$223.55 ,,0.03%
,ST Watermelon (L),42,$4.99 ,,$209.58 ,,0.03%
,Smashed Avocado (L),30,$6.88 ,,$206.30 ,,0.03%
,ST Lychee (L),40,$4.82 ,,$192.62 ,,0.02%
,ST Banana (L),36,$4.96 ,,$178.64 ,,0.02%
,ST Pineapple (L),34,$4.99 ,,$169.66 ,,0.02%
,ST Thai Tea,45,$3.74 ,,$168.38 ,,0.02%
,ST Watermelon,42,$3.99 ,,$167.58 ,,0.02%
,Smashed Avocado,26,$5.99 ,,$155.74 ,,0.02%
,Smashed Avocado Durian,25,$5.75 ,,$143.76 ,,0.02%
,ST Coffee,6,$3.86 ,,$23.14 ,,0.00%
,ST Coffee (L),2,$4.99 ,,$9.98 ,,0.00%
,ST 3-Fruit Mix,2,$4.49 ,,$8.98 ,,0.00%
,ST 3-Fruit Mix (L),2,$2.74 ,,$5.49 ,,0.00%
,Summary,4676,$4.43 ,,"$20,725.30 ",,2.58%
Whole Bean Coffee,,,,,,,
,Item Name,Quantity,Average Price,,Total,,Percent
,Whole Bean Espresso 12 OZ,178,$7.32 ,,"$1,302.40 ",,0.16%
,Whole Bean Buon Me Thuot 12 OZ,68,$7.32 ,,$497.59 ,,0.06%
,Whole Bean Double French Roast 12 OZ,30,$7.71 ,,$231.36 ,,0.03%
,Whole Bean French Roast 12 OZ,23,$8.68 ,,$199.57 ,,0.02%
,Whole Bean Costa Rica SHB Fincas 12 OZ,6,$8.99 ,,$53.94 ,,0.01%
,Whole Bean Brazil Santos 12 OZ,4,$8.99 ,,$35.96 ,,0.00%
,Whole Bean Mexican Custepec 12 OZ,2,$8.99 ,,$17.98 ,,0.00%
,Whole Bean Colombian Supremo 12 OZ,3,$5.99 ,,$17.98 ,,0.00%
,Whole Bean Guatemala SHB Huehu 12 OZ,1,$8.99 ,,$8.99 ,,0.00%
,Summary,315,$7.51 ,,"$2,365.77 ",,0.29%
Report Total,,,2.67,,"$804,241.81 ",,100.00%
,,300980,,,,,
,,,,,,Page 1 of 1,
